roi,index,abs_int
1,0,336.264007568359
1,1,404.250305175781
1,2,493.251403808594
1,3,638.771301269531
1,4,798.857788085938
1,5,1033.23327636719
1,6,1357.40161132813
1,7,1760.40063476563
1,8,2275.23559570312
1,9,2915.8408203125
1,10,3617.07397460937
1,11,4490.71240234375
1,12,5405.283203125
1,13,6388.2001953125
1,14,7364.73779296875
1,15,8360.9423828125
1,16,9266.703125
1,17,10013.173828125
1,18,10567.931640625
1,19,10842.3662109375
1,20,10796.4599609375
1,21,10576.728515625
1,22,10057.765625
1,23,9488.3232421875
1,24,8738.412109375
1,25,8014.34814453125
1,26,7176.09619140625
1,27,6566.1025390625
1,28,5970.59375
1,29,5493.50634765625
1,30,5208.0771484375
1,31,5007.103515625
1,32,4848.6962890625
1,33,4838.0478515625
1,34,4770.31640625
1,35,4722.7802734375
1,36,4614.76220703125
1,37,4469.8564453125
1,38,4311.72705078125
1,39,4113.38330078125
1,40,3881.11474609375
1,41,3629.45629882813
1,42,3370.80322265625
1,43,3142.27075195312
1,44,2974.234375
1,45,2859.61767578125
1,46,2698.10229492187
1,47,2632.87377929687
1,48,2589.90209960937
1,49,2641.88403320312
1,50,2724.6962890625
1,51,2771.13989257812
1,52,2854.11157226563
1,53,2924.24584960937
1,54,2981.57006835937
1,55,3028.79638671875
1,56,3004.86010742187
1,57,2945.61083984375
1,58,2871.77709960938
1,59,2706.45727539062
1,60,2579.16723632812
1,61,2400.69165039062
1,62,2184.84643554687
1,63,1948.8828125
1,64,1708.21838378906
1,65,1452.8828125
1,66,1243.23095703125
1,67,1033.46533203125
1,68,867.249084472656
1,69,728.081909179688
1,70,605.574523925781
1,71,520.172912597656
1,72,444
1,73,372.364013671875
1,74,328.996612548828
1,75,286.147888183594
1,76,118.680297851563
1,77,0
1,78,0
1,79,0
1,80,0
1,81,0
1,82,0
1,83,0
1,84,0
1,85,0
1,86,0
1,87,0
1,88,0
1,89,0
1,90,0
1,91,0
1,92,0
1,93,0
1,94,0
1,95,0
1,96,0
1,97,0
1,98,0
1,100,0
2,0,332.406707763672
2,1,385.904113769531
2,2,461.29638671875
2,3,572.127075195313
2,4,744.205688476563
2,5,936.845825195313
2,6,1229.76550292969
2,7,1634.36169433594
2,8,2158.03344726562
2,9,2802.62963867187
2,10,3632.59399414062
2,11,4510.33642578125
2,12,5613.79296875
2,13,6801.86474609375
2,14,8132.07861328125
2,15,9461.5322265625
2,16,10790.8515625
2,17,12044.19140625
2,18,13005.298828125
2,19,13701.6162109375
2,20,14050.2509765625
2,21,14105.3837890625
2,22,13742.2900390625
2,23,13109.2314453125
2,24,12207.8916015625
2,25,11232.654296875
2,26,10071.7939453125
2,27,8961.0625
2,28,7979.81982421875
2,29,7170.72216796875
2,30,6454.57177734375
2,31,5959.15869140625
2,32,5583.72265625
2,33,5329.40966796875
2,34,5144.693359375
2,35,5017.68896484375
2,36,4876.56396484375
2,37,4710.71533203125
2,38,4524.45068359375
2,39,4311.1494140625
2,40,4072.64672851563
2,41,3820.8388671875
2,42,3574.55126953125
2,43,3335.93310546875
2,44,3132.76025390625
2,45,2935.5263671875
2,46,2831.60717773438
2,47,2738.70141601562
2,48,2721.677734375
2,49,2745.68237304688
2,50,2831.44311523438
2,51,2921.85546875
2,52,2997.50659179687
2,53,3065.01684570312
2,54,3150.80541992188
2,55,3228.5107421875
2,56,3208.68627929687
2,57,3177.58984375
2,58,3055.12890625
2,59,2985.8232421875
2,60,2802.71508789062
2,61,2574.13525390625
2,62,2359.89135742187
2,63,2113.32397460937
2,64,1837.25695800781
2,65,1561.892578125
2,66,1329.41650390625
2,67,1112.27966308594
2,68,909.402587890625
2,69,761.760803222656
2,70,621.104614257813
2,71,515.900573730469
2,72,440.568389892578
2,73,363.889099121094
2,74,314.9462890625
2,75,273.539001464844
2,76,127.071098327637
2,77,0
2,78,0
2,79,0
2,80,0
2,81,0
2,82,0
2,83,0
2,84,0
2,85,0
2,86,0
2,87,0
2,88,0
2,89,0
2,90,0
2,91,0
2,92,0
2,93,0
2,94,0
2,95,0
2,96,0
2,97,0
2,98,0
2,100,0
3,0,366.288391113281
3,1,384.668609619141
3,2,458.044006347656
3,3,537.872009277344
3,4,637.302795410156
3,5,801.386779785156
3,6,1010.37628173828
3,7,1349.34484863281
3,8,1782.98376464844
3,9,2343.64086914062
3,10,3062.63598632813
3,11,4014.27709960938
3,12,5146.9990234375
3,13,6548.93212890625
3,14,8223.5869140625
3,15,10127.0673828125
3,16,12187.984375
3,17,14354.6787109375
3,18,16578.29296875
3,19,18834.548828125
3,20,20722.326171875
3,21,22255.1484375
3,22,23266.2421875
3,23,23711.755859375
3,24,23545.9453125
3,25,22601.93359375
3,26,21230.64453125
3,27,19530.732421875
3,28,17602.62890625
3,29,15590.08984375
3,30,13591.865234375
3,31,11775.109375
3,32,10237.390625
3,33,9113.2763671875
3,34,8199.28515625
3,35,7504.0302734375
3,36,6982.62060546875
3,37,6631.93896484375
3,38,6343.62939453125
3,39,6048.603515625
3,40,5742.76611328125
3,41,5501.0087890625
3,42,5225.16162109375
3,43,4891.06787109375
3,44,4614.6435546875
3,45,4295.33544921875
3,46,4111.31591796875
3,47,3918.28833007812
3,48,3782.865234375
3,49,3704.263671875
3,50,3728.53833007813
3,51,3735.83569335937
3,52,3886.84228515625
3,53,4024.98193359375
3,54,4216.36669921875
3,55,4420.5615234375
3,56,4511.76318359375
3,57,4592.0498046875
3,58,4724.19091796875
3,59,4681.53955078125
3,60,4578.3837890625
3,61,4442.75830078125
3,62,4212.14111328125
3,63,3960.3896484375
3,64,3623.564453125
3,65,3334.97607421875
3,66,2949.70385742187
3,67,2549.68090820312
3,68,2195.3466796875
3,69,1865.14245605469
3,70,1568.21008300781
3,71,1293.02392578125
3,72,1049.28747558594
3,73,874.089782714844
3,74,724.469909667969
3,75,589.681030273438
3,76,291.843414306641
3,77,0
3,78,0
3,79,0
3,80,0
3,81,0
3,82,0
3,83,0
3,84,0
3,85,0
3,86,0
3,87,0
3,88,0
3,89,0
3,90,0
3,91,0
3,92,0
3,93,0
3,94,0
3,95,0
3,96,0
3,97,0
3,98,0
3,100,0
4,0,200.363006591797
4,1,210.032501220703
4,2,233.562606811523
4,3,268.122192382812
4,4,319.052490234375
4,5,363.507202148437
4,6,442.995208740234
4,7,561.619812011719
4,8,723.415405273438
4,9,938.383972167969
4,10,1251.07543945313
4,11,1638.08972167969
4,12,2104.73364257812
4,13,2694.4794921875
4,14,3386.90356445312
4,15,4181.97119140625
4,16,5096.84814453125
4,17,6084.5576171875
4,18,7110.8232421875
4,19,8167.81689453125
4,20,9143.0947265625
4,21,10056.87109375
4,22,10749.41015625
4,23,11214.7236328125
4,24,11499.744140625
4,25,11358.41796875
4,26,11024.3017578125
4,27,10425.5966796875
4,28,9714.3876953125
4,29,8906.3720703125
4,30,8113.650390625
4,31,7348.29345703125
4,32,6647.5986328125
4,33,6047.62158203125
4,34,5584.6416015625
4,35,5287.041015625
4,36,5069.1767578125
4,37,4934.97998046875
4,38,4812.06103515625
4,39,4662.33056640625
4,40,4533.76904296875
4,41,4379.23583984375
4,42,4220.86328125
4,43,3963.95043945313
4,44,3758.15844726562
4,45,3536.59594726563
4,46,3336.4814453125
4,47,3122.7431640625
4,48,2984.85205078125
4,49,2858.02856445313
4,50,2762.6474609375
4,51,2785.9599609375
4,52,2807.86254882812
4,53,2862.3916015625
4,54,2993.3525390625
4,55,3096.25219726562
4,56,3253.27612304687
4,57,3349.4326171875
4,58,3393.88354492187
4,59,3468.64208984375
4,60,3450.84228515625
4,61,3418.69311523438
4,62,3255.55688476562
4,63,3159.11743164063
4,64,2952.05346679687
4,65,2717.28369140625
4,66,2485.45166015625
4,67,2213.06591796875
4,68,1942.05541992188
4,69,1638.38391113281
4,70,1429.08117675781
4,71,1161.24926757813
4,72,982.311279296875
4,73,821.375427246094
4,74,693.765014648438
4,75,566.254089355469
4,76,232.38200378418
4,77,0
4,78,0
4,79,0
4,80,0
4,81,0
4,82,0
4,83,0
4,84,0
4,85,0
4,86,0
4,87,0
4,88,0
4,89,0
4,90,0
4,91,0
4,92,0
4,93,0
4,94,0
4,95,0
4,96,0
4,97,0
4,98,0
4,100,0
5,0,254.265502929687
5,1,301.283599853516
5,2,355.213012695312
5,3,428.859588623047
5,4,525.486206054688
5,5,675.575988769531
5,6,847.755493164063
5,7,1059.40014648438
5,8,1321.37158203125
5,9,1659.90454101563
5,10,2040.17578125
5,11,2455.09448242187
5,12,2929.3525390625
5,13,3401.71166992187
5,14,3855.71313476562
5,15,4342.5673828125
5,16,4790.6552734375
5,17,5172.19873046875
5,18,5463.5185546875
5,19,5632.11474609375
